comparison,metric,point,ci_lo,ci_hi,boot_p,n_boot,method
leaky - guarded (GSE25055),delta_auroc,0.044,-0.0125,0.1028,0.125,2000,paired stratified bootstrap
leaky - guarded (GSE25055),delta_pr_auc,0.0362,-0.0483,0.1247,0.383,2000,paired stratified bootstrap
