"statistic","observed","reference_value","null_mean","null_sd","null_p2.5","null_p97.5","frac_null_above_reference","p_obs_ge_null","n_perm"
"leaky_auroc",0.7705,0.5,0.8732,0.0539,0.7553,0.956,1,0.9652,200
"guarded_auroc",0.7265,0.5,0.5379,0.037,0.4803,0.6138,0.855,0.005,200
"gap_auroc",0.044,0,0.3353,0.0626,0.1919,0.4505,1,1,200
"leaky_pr_auc",0.402,0.1863,0.6539,0.1224,0.4058,0.8634,1,0.9751,200
"guarded_pr_auc",0.3656,0.1863,0.1902,0.0306,0.1449,0.2587,0.47,0.005,200
"gap_pr_auc",0.0363,0,0.4637,0.127,0.2151,0.6639,1,1,200
