"statistic","observed","reference_value","null_mean","null_sd","null_p2.5","null_p97.5","frac_null_above_reference","p_obs_ge_null","n_perm"
"leaky_auroc",0.7705,0.5,0.8783,0.0511,0.7613,0.9564,1,0.967,1000
"guarded_auroc",0.7265,0.5,0.5401,0.0364,0.4783,0.6185,0.871,0.001,1000
"gap_auroc",0.044,0,0.3382,0.0611,0.209,0.4454,1,1,1000
"leaky_pr_auc",0.402,0.1863,0.6637,0.1162,0.4131,0.8606,1,0.979,1000
"guarded_pr_auc",0.3656,0.1863,0.1917,0.0311,0.1465,0.2605,0.489,0.001,1000
"gap_pr_auc",0.0363,0,0.4721,0.1199,0.2152,0.6715,1,1,1000
