"top_k","leaky_auroc","guarded_auroc","gap_auroc","leaky_pr_auc","guarded_pr_auc","gap_pr_auc","leaky_bal_acc","guarded_bal_acc","leaky_mcc","guarded_mcc","leaky_sensitivity","guarded_sensitivity","leaky_specificity","guarded_specificity","nogueira","mean_jaccard","total_unique","stable_core","unstable_tail","runtime_secs"
25,0.8365,0.7197,0.1167,0.5041,0.334,0.1701,0.5793,0.5326,0.2618,0.1139,0.186,0.1053,0.9727,0.9598,0.3713,0.2317,72,3,46,4.5
50,0.8094,0.7426,0.0668,0.4627,0.3735,0.0892,0.5749,0.5366,0.2416,0.1363,0.186,0.1053,0.9639,0.9679,0.4448,0.2906,128,9,68,4.1
100,0.7705,0.7265,0.044,0.402,0.3656,0.0363,0.5546,0.5792,0.2063,0.225,0.1333,0.2105,0.9759,0.9478,0.5409,0.3734,222,28,102,4.5
200,0.8198,0.7154,0.1044,0.4572,0.3717,0.0855,0.5724,0.5894,0.2276,0.2161,0.1825,0.2632,0.9622,0.9157,0.6055,0.4389,409,77,174,6.8
